ball	function	reason
W32	PS_MGTRTXN2_505	not used in minimal system; no external interface
W31	PS_MGTRTXP2_505	not used in minimal system; no external interface
U32	PS_MGTREFCLK3N_505	not used in minimal system; no external interface
U31	PS_MGTREFCLK3P_505	not used in minimal system; no external interface
V30	PS_MGTRTXN3_505	not used in minimal system; no external interface
V29	PS_MGTRTXP3_505	not used in minimal system; no external interface
AD11	VREF_65	not used in minimal system; no external interface
AD12	VREF_66	not used in minimal system; no external interface
AF26	NC	reserved package ball
AF27	NC	reserved package ball
AJ11	VREF_64	not used in minimal system; no external interface
N14	VREF_67	not used in minimal system; no external interface
